Cancer_Type,Gene_Symbol,MCC_Rank,Representative_Drug_or_Drugs,Number_of_Unique_Drugs,Interaction_Type_Summary,Drug_Interaction_Source_Summary,S13_Support,S14_Support,S15_Support,S16_Localization,Multilayer_Evidence_Summary,Therapeutic_Interpretation,Clinical_Actionability_Status,Limitations
Breast cancer,BCL11A,7,EXAGAMGLOGENE AUTOTEMCEL,1,,ChEMBL,False,True,False,False,S14 concordant,"BCL11A has 1 unique reported drug interaction(s) and upstream support from S14 concordant. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Breast cancer,CCND1,4,ABEMACICLIB; ACETAMINOPHEN; ALVOCIDIB; ARSENIC TRIOXIDE; BORTEZOMIB; BRICICLIB; CHEMOPREVENTIVE AGENT; CISPLATIN,30,inhibitor,CGI; CIViC; ChEMBL; ClearityFoundationBiomarkers; DTC; NCI; PharmGKB; TTD; TdgClinicalTrial,False,True,False,False,S14 concordant,"CCND1 has 30 unique reported drug interaction(s) and upstream support from S14 concordant. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Breast cancer,CXCL10,1,ANTIBIOTIC; ATORVASTATIN CALCIUM TRIHYDRATE; ATROPINE; CHORIOGONADOTROPIN ALFA; ELDELUMAB; GM-CSF; IROPLACT; METHYLPREDNISOLONE,16,inhibitor,ChEMBL; NCI; PharmGKB; TTD; TdgClinicalTrial,False,False,True,False,S15 tumor-normal concordant,"CXCL10 has 16 unique reported drug interaction(s) and upstream support from S15 tumor-normal concordant. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Breast cancer,GATA3,5,ASPARAGINASE; CYCLOPHOSPHAMIDE ANHYDROUS; CYTARABINE; DAUNORUBICIN LIPOSOMAL; DEXAMETHASONE; DOXORUBICIN HYDROCHLORIDE; GLUCARPIDASE; LEUCOVORIN CALCIUM,15,,PharmGKB,True,True,False,True,S13 recurrent; S14 concordant; S16 localization,"GATA3 has 15 unique reported drug interaction(s) and upstream support from S13 recurrent; S14 concordant; S16 localization. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Breast cancer,IDO1,4,1-METHYL-L-TRYPTOPHAN; 2-MERCAPTOBENZOTHIAZOLE; AMG-1; BETA-CARBOLINE; CHEMBL:CHEMBL1224312; CHEMBL:CHEMBL14145; CHEMBL:CHEMBL1668301; CHEMBL:CHEMBL1933308,23,inhibitor,ChEMBL; DTC; GuideToPharmacology; PharmGKB; TTD,False,False,True,False,S15 tumor-normal concordant,"IDO1 has 23 unique reported drug interaction(s) and upstream support from S15 tumor-normal concordant. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Breast cancer,PGR,3,ABEMACICLIB; ALLYLESTRENOL; ANASTROZOLE; APR19; ASOPRISNIL; AZD9567; BUDESONIDE; CHEMBL:CHEMBL2059711,75,agonist; inhibitor; modulator,ChEMBL; ClearityFoundationBiomarkers; DTC; FDA; GuideToPharmacology; NCI; PharmGKB; TEND; TTD; TdgClinicalTrial,False,False,True,False,S15 tumor-normal concordant,"PGR has 75 unique reported drug interaction(s) and upstream support from S15 tumor-normal concordant. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Breast cancer,TFF3,9,AMINOGLUTETHIMIDE; TAMOXIFEN,2,,CIViC,False,True,False,False,S14 concordant,"TFF3 has 2 unique reported drug interaction(s) and upstream support from S14 concordant. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Lung cancer,AMACR,4,"CHOLIC ACID; IBUPROFEN, SODIUM SALT",2,,PharmGKB,False,False,True,False,S15 tumor-normal concordant,"AMACR has 2 unique reported drug interaction(s) and upstream support from S15 tumor-normal concordant. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Lung cancer,CTSG,6,ALOXISTATIN; COMPOUND 1 [PMID: 11425539]; COMPOUND 4G [PMID: 22595175]; JNJ-10311795; LYMPHOKINE-ACTIVATED KILLER CELLS; MANNITOL; RECOMBINANT INTERFERON; RECOMBINANT TUMOR NECROSIS FACTOR FAMILY PROTEIN,11,inhibitor,GuideToPharmacology; NCI; TTD,False,False,True,True,S15 KM; S15 stage; S16 localization,"CTSG has 11 unique reported drug interaction(s) and upstream support from S15 KM; S15 stage; S16 localization. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Lung cancer,DPP4,1,ALOGLIPTIN; ALOGLIPTIN BENZOATE; ANAGLIPTIN; BEGELOMAB; BISEGLIPTIN; CAPTOPRIL; CARMEGLIPTIN; CETAGLIPTIN,35,antibody; inhibitor,ChEMBL; DTC; GuideToPharmacology; NCI; PharmGKB; TEND; TdgClinicalTrial,False,False,True,False,S15 tumor-normal concordant,"DPP4 has 35 unique reported drug interaction(s) and upstream support from S15 tumor-normal concordant. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Lung cancer,EGF,2,CETUXIMAB; EPIDERMAL GROWTH FACTOR; NIMOTUZUMAB,3,,CIViC; TTD; TdgClinicalTrial,False,False,True,False,S15 tumor-normal concordant,"EGF has 3 unique reported drug interaction(s) and upstream support from S15 tumor-normal concordant. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Lung cancer,HBEGF,1,ANTI-HBEGF MONOCLONAL ANTIBODY U3-1565; ANTISERUM; CETUXIMAB; KHK-2866; PANITUMUMAB,5,inhibitor,ChEMBL; NCI; PharmGKB; TTD,False,False,True,False,S15 tumor-normal concordant,"HBEGF has 5 unique reported drug interaction(s) and upstream support from S15 tumor-normal concordant. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Lung cancer,JAG1,3,HYDROCORTISONE BUTYRATE; MARALIXIBAT; ODEVIXIBAT,3,,NCI; PharmGKB,True,False,True,True,S13 recurrent; S15 tumor-normal concordant; S15 Cox; S16 localization,"JAG1 has 3 unique reported drug interaction(s) and upstream support from S13 recurrent; S15 tumor-normal concordant; S15 Cox; S16 localization. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Lung cancer,KRT17,4,RECOMBINANT INTERFERON; TCDD,2,,NCI,True,False,False,False,S13 recurrent,"KRT17 has 2 unique reported drug interaction(s) and upstream support from S13 recurrent. This supports therapeutic relevance prioritization, not clinical efficacy.",Interaction_Evidence_Only,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Lung cancer,KRT6A,5,TD101,1,,TdgClinicalTrial,False,False,True,True,S15 Cox; S15 stage; S16 localization,"KRT6A has 1 unique reported drug interaction(s) and upstream support from S15 Cox; S15 stage; S16 localization. This supports therapeutic relevance prioritization, not clinical efficacy.",Interaction_Evidence_Only,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Lung cancer,LIFR,9,EMFILERMIN,1,,TTD,False,False,True,True,S15 KM; S15 Cox; S16 localization,"LIFR has 1 unique reported drug interaction(s) and upstream support from S15 KM; S15 Cox; S16 localization. This supports therapeutic relevance prioritization, not clinical efficacy.",Interaction_Evidence_Only,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Lung cancer,TMPRSS2,3,CAMOSTAT; COMPOUND 5 [PMID: 21741839]; I-432; MM3122; N-0385; N-0920; NAFAMOSTAT; OTAMIXABAN,8,inhibitor,GuideToPharmacology,False,False,True,True,S15 KM; S15 stage; S16 localization,"TMPRSS2 has 8 unique reported drug interaction(s) and upstream support from S15 KM; S15 stage; S16 localization. This supports therapeutic relevance prioritization, not clinical efficacy.",Established_Target_With_Context_Dependent_Relevance,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Ovarian cancer,MARCKS,10,BIO-11006,1,inhibitor,ChEMBL; TTD,False,True,False,False,S14 concordant,"MARCKS has 1 unique reported drug interaction(s) and upstream support from S14 concordant. This supports therapeutic relevance prioritization, not clinical efficacy.",Interaction_Evidence_Only,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Prostate cancer,BMP7,9,CYCLOPHOSPHAMIDE ANHYDROUS; CYTARABINE; DAUNORUBICIN LIPOSOMAL; DEXAMETHASONE; DOXORUBICIN HYDROCHLORIDE; METHOTREXATE; PEGASPARGASE; PREDNISONE,10,,PharmGKB,True,False,False,False,S13 recurrent,"BMP7 has 10 unique reported drug interaction(s) and upstream support from S13 recurrent. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Prostate cancer,COL2A1,7,ALBUTEROL SULFATE; COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; OCRIPLASMIN,3,cleavage,ChEMBL; PharmGKB; TEND; TdgClinicalTrial,False,False,True,False,S15 tumor-normal concordant,"COL2A1 has 3 unique reported drug interaction(s) and upstream support from S15 tumor-normal concordant. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Prostate cancer,PDGFRA,8,AC710; AMUVATINIB; AST-487; AVAPRITINIB; AXITINIB; BARASERTIB; BARASERTIB-HQPA; BECAPLERMIN,77,agonist; antibody; inhibitor,CGI; CIViC; COSMIC; ChEMBL; ClearityFoundationClinicalTrial; DTC; DoCM; FDA; GuideToPharmacology; MyCancerGenome; MyCancerGenomeClinicalTrial; OncoKB; PharmGKB; TALC; TEND; TTD; TdgClinicalTrial,True,False,False,False,S13 recurrent,"PDGFRA has 77 unique reported drug interaction(s) and upstream support from S13 recurrent. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Prostate cancer,SNAP25,1,AMISULPRIDE; BOTULINUM TOXIN TYPE A; DAXIBOTULINUMTOXINA; DIAZOXIDE; INCOBOTULINUMTOXINA; LETIBOTULINUMTOXINA; ONABOTULINUMTOXINA; PRABOTULINUMTOXIN A,10,cleavage; inhibitor,ChEMBL; NCI; PharmGKB; TEND; TTD; TdgClinicalTrial,False,False,True,False,S15 tumor-normal concordant,"SNAP25 has 10 unique reported drug interaction(s) and upstream support from S15 tumor-normal concordant. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
Prostate cancer,SYT1,3,METHYLPHENIDATE,1,,PharmGKB,False,False,True,False,S15 tumor-normal concordant,"SYT1 has 1 unique reported drug interaction(s) and upstream support from S15 tumor-normal concordant. This supports therapeutic relevance prioritization, not clinical efficacy.",Requires_Manual_Clinical_Verification,"DGIdb interaction evidence does not establish therapeutic efficacy, sensitivity, resistance, or cancer-specific indication. Manual clinical verification is required for drug approval/indication context."
